Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX
X20130911,C02,Q,72,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,81,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,86,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,73,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,67,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,62,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,53,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,49,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,Q,22,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,61,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,123,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,143,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,141,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,137,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,146,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,127,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,119,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,117,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,130,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,R,118,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,29,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,54,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,64,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,72,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,97,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,98,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,106,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,95,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,87,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,85,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,S,91,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,31,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,59,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,99,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,117,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,129,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,145,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,128,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,95,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,78,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,70,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,T,47,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,27,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,62,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,104,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,129,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,125,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,139,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,103,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,86,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,74,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,70,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C02,U,58,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,37,0,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,67,1,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,101,2,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,132,3,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,154,4,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,161,5,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,157,6,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,139,7,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,128,8,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,130,9,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
X20130911,C03,A,100,10,0,0,0,0,0,10,0,PC9.par,SB.plate,0,0
