Well,Colony,CellCount,Expt,Time_Day,Condition,Cell.line,Paired,,,,,,,
G10,B,203,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
G10,B,195,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
G10,B,153,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
G10,B,154,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
G10,B,132,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
G10,B,54,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
G10,B,44,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
G10,B,33,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
H09,B,128,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
H09,B,213,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
H09,B,250,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
H09,B,336,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
H09,B,341,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
H09,B,227,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
H09,B,226,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
H09,B,175,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
H09,B,112,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
H09,B,114,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
H09,B,91,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
E07,B,131,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
E07,B,207,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
E07,B,195,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
E07,B,180,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
E07,B,162,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
E07,B,156,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
E07,B,155,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
E07,B,183,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
E07,B,174,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
E07,B,184,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
E07,B,180,X20120323,10,Erlotinib,PC9.par,No,,,,,,,
E07,C,132,X20120323,0,Erlotinib,PC9.par,No,,,,,,,
E07,C,205,X20120323,1,Erlotinib,PC9.par,No,,,,,,,
E07,C,193,X20120323,2,Erlotinib,PC9.par,No,,,,,,,
E07,C,180,X20120323,3,Erlotinib,PC9.par,No,,,,,,,
E07,C,162,X20120323,4,Erlotinib,PC9.par,No,,,,,,,
E07,C,154,X20120323,5,Erlotinib,PC9.par,No,,,,,,,
E07,C,152,X20120323,6,Erlotinib,PC9.par,No,,,,,,,
E07,C,182,X20120323,7,Erlotinib,PC9.par,No,,,,,,,
E07,C,172,X20120323,8,Erlotinib,PC9.par,No,,,,,,,
E07,C,177,X20120323,9,Erlotinib,PC9.par,No,,,,,,,
