DS1,DS2,DS3,DS4,DS5,DS6,DS7,BR1
1472.29393,1595.379349,2136.880332,1227.239583,1418.997466,1907.286979,1132.141279,1604.92654
1657.189394,1486.163884,2132.761124,964.1503704,1171.191744,1704.064902,1667.680864,1320.030501
1475.074603,1826.084405,1519.898048,1398.362069,1667.417092,1917.413102,1332.571185,975.0037254
1223.178411,1687.018779,1997.820845,1332.048118,1889.593578,1407.320158,1889.484655,1111.748758
1493.291157,1728.707429,2254.097774,1250.575237,1031.945346,1782.488352,1715.222303,1586.342942
1456.870709,1555.612484,1757.069869,1388.995034,1101.083969,2046.823495,1318.608059,1389.966936
1504.421538,1723.668826,2391.392577,1747.912107,1185.592076,1707.319599,1545.545926,1159.157246
1851.450864,1644.314732,1600.084011,1983.584807,1599.600277,2315.708088,2207.944104,1126.331126
1411.837566,1532.290323,1324.015188,1236.269392,1539.082192,1421.585911,1227.431156,1267.747185
1258.854212,1452.092659,2046.064446,1932.632231,1172.411765,2416.186373,1097.785338,950.7958115
1640.306024,1718.716325,1453.959888,1708.894048,1375.512205,1412.07348,2623.26939,2053.242379
2339.97005,1997.816176,1349.501092,1532.348035,1749.539613,2010.338661,2082.968408,1481.315372
1538.574586,1451.32967,1671.319622,1761.364509,1634.115004,1904.578922,1975.729406,1392.791068
1405.014319,1656.523631,1426.713955,1487.026575,1140.779671,2252.299578,1271.047724,1280.494798
1902.777078,2108.218813,1603.518519,1816.890656,1585.644566,2065.427828,1349.626263,1260.778607
1394.327143,2112.161523,2031.325112,1348.398459,1188.578704,2259.889819,1763.670141,1355.528796
1394.381818,1566.715851,1878.50906,1669.237415,1100.194796,2128.06548,1485.294741,1359.309156
1256.456783,1536.516192,1730.449084,1575.493606,1295.351115,1294.788136,1788.561162,1027.432749
1490.652913,2414.391827,1660.40498,1541.366964,1303.211189,1308.299694,1808.763581,1496.412486
1806.623566,1572.940594,2705.375,1434.792258,1351.922135,1715.088303,2116.37505,1167.714689
1702.139222,2013.954545,1176.162752,1826.276445,1142.283435,1414.927552,1119.77709,1180.197494
2038.625814,1754.548794,2068.401082,1015.565771,2208.268792,2002.264329,1482.781951,1507.75476
1438.970127,2345.441233,1813.979468,1668.057245,1312.076884,1236.242443,2585.223469,1264.616657
1642.605378,1828.651412,1745.115842,1491.379106,1179.103191,1745.214976,1573.347902,1065.587706
2485.985044,1392.910049,1672.822711,1292.775828,1245.377148,1535.257242,1397.616947,1432.49911
1914.924821,2369.816891,2248.183099,1027.370204,1499.424251,1830.302895,1158.123373,1437.890455
1293.542833,2016.426481,2031.342316,1490.118919,1633.848609,1684.74071,1168.301661,1252.44702
1342.769528,2491.556918,1544.31052,2168.287585,1303.603871,1649.787473,1713.835376,1500.145026
1440.283726,1677.715764,2298.459987,1925.822988,998.8230769,3313.993659,1522.630363,1997.819102
1590.598454,1467.859463,1583.05123,1572.684791,1047.249315,2397.40732,2279.205276,1913.832803
