"","Expt","Well","Colony","Cell.count","Time.day","Erl","CHX","FSK","TRM","X17A","SB","An","Cell.line","Plate","ABT","PLX"
"186","BPSKMEL","B07",9,70,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"187","BPSKMEL","B07",9,49,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"188","BPSKMEL","B07",9,39,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"189","BPSKMEL","B07",9,36,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"190","BPSKMEL","B07",10,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"191","BPSKMEL","B07",10,2,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"192","BPSKMEL","B07",10,7,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"193","BPSKMEL","B07",10,11,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"194","BPSKMEL","B07",10,20,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"195","BPSKMEL","B07",10,30,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"196","BPSKMEL","B07",10,58,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"197","BPSKMEL","B07",10,64,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"198","BPSKMEL","B07",10,62,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"199","BPSKMEL","B07",10,95,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"200","BPSKMEL","B07",10,66,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"201","BPSKMEL","B07",10,72,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"202","BPSKMEL","B07",10,41,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"203","BPSKMEL","B07",10,52,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"204","BPSKMEL","B07",10,32,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"205","BPSKMEL","B07",10,9,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"206","BPSKMEL","B07",10,18,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"207","BPSKMEL","B07",10,12,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"208","BPSKMEL","B07",10,17,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"209","BPSKMEL","B07",10,18,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"210","BPSKMEL","B07",10,23,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"211","BPSKMEL","B07",11,2,0,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"212","BPSKMEL","B07",11,5,1.712545833,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"213","BPSKMEL","B07",11,10,2.695325,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"214","BPSKMEL","B07",11,22,3.764479167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"215","BPSKMEL","B07",11,49,4.903575,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"216","BPSKMEL","B07",11,89,5.954283333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"217","BPSKMEL","B07",11,167,6.897975,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"218","BPSKMEL","B07",11,172,6.982258333,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"219","BPSKMEL","B07",11,219,7.6926375,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"220","BPSKMEL","B07",11,177,8.924766667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"221","BPSKMEL","B07",11,196,9.731066667,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"222","BPSKMEL","B07",11,206,10.7534125,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"223","BPSKMEL","B07",11,97,10.99522083,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"224","BPSKMEL","B07",11,86,11.78024167,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"225","BPSKMEL","B07",11,106,12.73057917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"226","BPSKMEL","B07",11,44,12.9729875,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"227","BPSKMEL","B07",11,41,13.70632917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"228","BPSKMEL","B07",11,54,14.875775,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"229","BPSKMEL","B07",11,39,16.12682917,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"230","BPSKMEL","B07",11,38,16.7051625,0,0,0,0,0,0,0,"SKMEL5",1,0,16
"231","BPSKMEL","B07",11,36,17.764825,0,0,0,0,0,0,0,"SKMEL5",1,0,16
