Well,Colony,CellCount,Time_Day,Erl,SB,An,Cell.line,Plate
B07,A,252,6,3,10,0,PC9.sp,SB.plate
B07,A,347,7,3,10,0,PC9.sp,SB.plate
B07,A,436,8,3,10,0,PC9.sp,SB.plate
B07,A,543,9,3,10,0,PC9.sp,SB.plate
B07,A,615,10,3,10,0,PC9.sp,SB.plate
B07,B,27,0,3,10,0,PC9.sp,SB.plate
B07,B,49,1,3,10,0,PC9.sp,SB.plate
B07,B,53,2,3,10,0,PC9.sp,SB.plate
B07,B,53,3,3,10,0,PC9.sp,SB.plate
B07,B,42,4,3,10,0,PC9.sp,SB.plate
B07,B,38,5,3,10,0,PC9.sp,SB.plate
B07,B,26,6,3,10,0,PC9.sp,SB.plate
B07,B,13,7,3,10,0,PC9.sp,SB.plate
B07,B,10,8,3,10,0,PC9.sp,SB.plate
B07,B,9,9,3,10,0,PC9.sp,SB.plate
B07,B,10,10,3,10,0,PC9.sp,SB.plate
B07,C,28,0,3,10,0,PC9.sp,SB.plate
B07,C,54,1,3,10,0,PC9.sp,SB.plate
B07,C,69,2,3,10,0,PC9.sp,SB.plate
B07,C,81,3,3,10,0,PC9.sp,SB.plate
B07,C,80,4,3,10,0,PC9.sp,SB.plate
B07,C,71,5,3,10,0,PC9.sp,SB.plate
B07,C,55,6,3,10,0,PC9.sp,SB.plate
B07,C,45,7,3,10,0,PC9.sp,SB.plate
B07,C,45,8,3,10,0,PC9.sp,SB.plate
B07,C,41,9,3,10,0,PC9.sp,SB.plate
B07,C,33,10,3,10,0,PC9.sp,SB.plate
B07,D,16,0,3,10,0,PC9.sp,SB.plate
B07,D,29,1,3,10,0,PC9.sp,SB.plate
B07,D,32,2,3,10,0,PC9.sp,SB.plate
B07,D,32,3,3,10,0,PC9.sp,SB.plate
B07,D,35,4,3,10,0,PC9.sp,SB.plate
B07,D,35,5,3,10,0,PC9.sp,SB.plate
B07,D,30,6,3,10,0,PC9.sp,SB.plate
B07,D,28,7,3,10,0,PC9.sp,SB.plate
B07,D,27,8,3,10,0,PC9.sp,SB.plate
B07,D,23,9,3,10,0,PC9.sp,SB.plate
B07,D,21,10,3,10,0,PC9.sp,SB.plate
B07,E,39,0,3,10,0,PC9.sp,SB.plate
B07,E,69,1,3,10,0,PC9.sp,SB.plate
B07,E,91,2,3,10,0,PC9.sp,SB.plate
B07,E,127,3,3,10,0,PC9.sp,SB.plate
B07,E,165,4,3,10,0,PC9.sp,SB.plate
B07,E,159,5,3,10,0,PC9.sp,SB.plate
B07,E,130,6,3,10,0,PC9.sp,SB.plate
B07,E,105,7,3,10,0,PC9.sp,SB.plate
B07,E,92,8,3,10,0,PC9.sp,SB.plate
B07,E,104,9,3,10,0,PC9.sp,SB.plate
B07,E,77,10,3,10,0,PC9.sp,SB.plate
B07,F,36,0,3,10,0,PC9.sp,SB.plate
B07,F,74,1,3,10,0,PC9.sp,SB.plate
B07,F,96,2,3,10,0,PC9.sp,SB.plate
B07,F,123,3,3,10,0,PC9.sp,SB.plate
B07,F,114,4,3,10,0,PC9.sp,SB.plate
B07,F,107,5,3,10,0,PC9.sp,SB.plate
B07,F,81,6,3,10,0,PC9.sp,SB.plate
B07,F,40,7,3,10,0,PC9.sp,SB.plate
B07,F,37,8,3,10,0,PC9.sp,SB.plate
B07,F,30,9,3,10,0,PC9.sp,SB.plate
B07,F,28,10,3,10,0,PC9.sp,SB.plate
