Expt,Well,Colony,Cell.count,Time.day,Erl,CHX,FSK,TRM,17A,SB,An,Cell.line,Plate,ABT,PLX,Pre.well
BPSKMEL,XX,6,10,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day17
BPSKMEL,XX,6,12,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day18
BPSKMEL,XX,6,13,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day19
BPSKMEL,XX,6,14,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day20
BPSKMEL,XX,7,10,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day0
BPSKMEL,XX,7,24,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day1
BPSKMEL,XX,7,42,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day2
BPSKMEL,XX,7,76,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day3
BPSKMEL,XX,7,125,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day4
BPSKMEL,XX,7,235,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day5
BPSKMEL,XX,7,310,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day6
BPSKMEL,XX,7,308,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day7
BPSKMEL,XX,7,362,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day8
BPSKMEL,XX,7,321,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day9
BPSKMEL,XX,7,360,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day10
BPSKMEL,XX,7,365,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day11
BPSKMEL,XX,7,330,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day12
BPSKMEL,XX,7,333,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day13
BPSKMEL,XX,7,337,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day14
BPSKMEL,XX,7,230,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day15
BPSKMEL,XX,7,232,13.70632917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day16
BPSKMEL,XX,7,226,14.875775,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day17
BPSKMEL,XX,7,165,16.12682917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day18
BPSKMEL,XX,7,168,16.7051625,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day19
BPSKMEL,XX,7,132,17.764825,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day20
BPSKMEL,XX,8,2,0,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day0
BPSKMEL,XX,8,5,1.712545833,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day1
BPSKMEL,XX,8,10,2.695325,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day2
BPSKMEL,XX,8,18,3.764479167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day3
BPSKMEL,XX,8,23,4.903575,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day4
BPSKMEL,XX,8,43,5.954283333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day5
BPSKMEL,XX,8,82,6.897975,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day6
BPSKMEL,XX,8,72,6.982258333,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day7
BPSKMEL,XX,8,103,7.6926375,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day8
BPSKMEL,XX,8,103,8.924766667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day9
BPSKMEL,XX,8,130,9.731066667,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day10
BPSKMEL,XX,8,153,10.7534125,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day11
BPSKMEL,XX,8,152,10.99522083,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day12
BPSKMEL,XX,8,178,11.78024167,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day13
BPSKMEL,XX,8,216,12.73057917,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day14
BPSKMEL,XX,8,180,12.9729875,0,0,0,0,0,0,0,SKMEL5,1,0,16,WellR02-C06H2B_day15
